ChannelName,post_body_text,published_at,LikesCount,SharesCount,CommentsCount,ViewsCount,is_safety_related
SaportaReport,"West Midtown restaurant closures, Beltline funding fears and transparency on an upcoming Amsterdam Walk development were among the concerns addressed by the @InvestAtlanta board at its recent meeting.  @DelaneyTarr    https://t.co/iirWJmzIbF",2025-02-24T14:51:01.000Z,1.0,0.0,0.0,182.0,True
First Coast News,"On Sunday, one running group will mark the annual Ahmaud Arbery Day, Feb. 23, with a 2.23-mile run along the Atlanta Beltline's West End Trail.",2025-02-23T16:30:11.000Z,207.0,15.0,111.0,0.0,True
First Coast News,"On Sunday, one running group will mark the annual Ahmaud Arbery Day, Feb. 23, with a 2.23-mile run along the Atlanta Beltline's West End Trail. https://t.co/P6KGxjiTfu",2025-02-23T16:30:11.000Z,1.0,1.0,2.0,807.0,True
11Alive,"RUN WITH MAUD | Today marks five years since the murder of Ahmaud Arbery, and a 2.23-mile run in Atlanta will pay tribute to his memory:",2025-02-23T14:56:29.000Z,50.0,10.0,9.0,0.0,True
11Alive News,Ahmaud Arbery remembered: Atlanta run marks 5 years since his murder https://t.co/SjXNRfPIjJ,2025-02-23T14:50:03.000Z,8.0,0.0,1.0,1302.0,True
11Alive,"Today, one running group will mark the annual Ahmaud Arbery Day, Feb. 23, with a 2.23-mile run along the Atlanta Beltline's West End Trail. 🕊️",2025-02-23T12:15:00.000Z,94.0,8.0,6.0,0.0,True
SaportaReport,"West Midtown restaurant closures, Beltline funding fears and transparency on an upcoming Amsterdam Walk development were among the concerns addressed by the Invest Atlanta board at its recent meeting.   

https://saportareport.com/invest-atlanta-meeting-tackles-west-midtown-closures-beltline-fears-and-amsterdam-walk/columnists/delaney-tarr/delaneytarr/",2025-02-22T13:21:02.000Z,0.0,1.0,0.0,0.0,True
13 WMAZ,"On Sunday, one running group will mark the annual Ahmaud Arbery Day, Feb. 23, with a 2.23-mile run along the Atlanta Beltline's West End Trail.",2025-02-21T22:00:10.000Z,533.0,43.0,107.0,0.0,True
SaportaReport,"Invest Atlanta meeting tackles West Midtown closures, Beltline fears and Amsterdam Walk  @InvestAtlanta  @DelaneyTarr https://t.co/iirWJmzIbF",2025-02-21T21:35:00.000Z,0.0,0.0,0.0,155.0,True
Sean Keenan,"RT @atlurbanist: So many huge development proposals struggle: Newport's for South Downtown, WRS's for Underground Atlanta, Microsoft's at B…",2025-02-21T17:42:50.000Z,0.0,3.0,0.0,0.0,True
13WMAZ News,Ahmaud Arbery remembered: Atlanta run marks 5 years since his murder https://t.co/zZIuAPu0jY,2025-02-21T16:40:02.000Z,3.0,0.0,0.0,320.0,True
Darin Givens,"So many huge development proposals struggle: Newport's for South Downtown, WRS's for Underground Atlanta, Microsoft's at Bankhead, the Midtown interstate cap, the previous plans for West End Mall &amp; Civic Center that fizzled...and now Murphy Crossing.

1/

https://t.co/pR0UYl6Lz3",2025-02-21T13:40:02.000Z,29.0,3.0,2.0,1951.0,True
SaportaReport,ICYMI:  Cam Kirk Studios - a household name in the Atlanta creative scene - finds new home on the Beltline.  @MarkLannNews  https://t.co/T7fhT4osW4,2025-02-17T21:35:00.000Z,0.0,0.0,0.0,166.0,True
The Atlanta Journal-Constitution,"Atlanta Beltline Partnership, a nonprofit that raises funds for the Beltline, received $1.85 million for the development of Enota Park from various donors including Georgia Power, the Fraser-Parker Foundation and Norfolk Southern.",2025-02-17T16:30:07.000Z,35.0,0.0,0.0,0.0,True
AJC,"The Atlanta Beltline’s vision for a new park with a boardwalk and pavilion next to the Westside Trail is coming to life.

Atlanta Beltline Partnership, a nonprofit that raises funds for the Beltline, received $1.85 million for the development of Enota Park from various donors including Georgia Power, the Fraser-Parker Foundation and Norfolk Southern.

The site map shows Enota Park bordered by I-20 to the north, the Westside Trail to the east and Westview residences to the west.

Construction is expected to start this year and take 16 months to complete, the nonprofit said.

Read more at the link in our bio.

🖋️ : Ashley Ahn / AJC
📷 : Atlanta Beltline Partnership",2025-02-17T14:01:29.000Z,1087.0,0.0,24.0,0.0,True
SaportaReport,ICYMI:  A household name in the Atlanta creative scene - Cam Kirk Studios - is bringing his studio onto the Beltline.,2025-02-17T13:21:02.000Z,0.0,0.0,0.0,0.0,True
SaportaReport,A Vision Connecting Westside Residents to New Beltline Parks  #sponsored   @AtlantaBeltline  https://t.co/FhPeOpyZ6c,2025-02-15T21:35:00.000Z,0.0,0.0,0.0,202.0,True
SaportaReport,"As several major initiatives come together to create lasting positive change in our communities, we’re witnessing a transformative moment for Atlanta’s Westside   #sponsored    Atlanta Beltline Partnership",2025-02-14T15:41:02.000Z,0.0,0.0,0.0,0.0,True
The Atlanta Journal-Constitution,"Atlanta Beltline Partnership, a nonprofit that raises funds for the Beltline, received $1.85 million for the development of Enota Park from various donors including Georgia Power, the Fraser-Parker Foundation and Norfolk Southern.",2025-02-14T11:30:06.000Z,35.0,1.0,0.0,0.0,True
SaportaReport,"The Atlanta Beltline Partnership has announced another $1.85 million in philanthropic commitments to develop Enota Park and connect the Westview neighborhood to the Beltline     

https://saportareport.com/enota-park-almost-2-million-closer-to-2025-construction-start/columnists/delaney-tarr/delaneytarr/",2025-02-13T20:51:01.000Z,1.0,0.0,0.0,0.0,True
SaportaReport,Connecting Communities to New Greenspaces: Major initiatives are coming together to create lasting positive change in our communities.    #sponsored   @AtlantaBeltline    https://t.co/FhPeOpyZ6c,2025-02-13T20:23:00.000Z,0.0,0.0,0.0,126.0,True
Atlanta Magazine,"💖🐱🏮 One of the Reasons We Love Atlanta: Because the Lantern Parade founder threw her cat a funeral and the whole neighborhood came out. “I had made a puppet of Rex a few years earlier that was in several parades,” says Chantelle Rytter. “He had a little kitty fan club. So when he passed [in 2021], we invited the neighborhood out for a jazz funeral.” ⁠
Her Krewe of the Grateful Gluttons now hosts seven annual events. “Parades are where a community sees itself,” says Rytter, whose Beltline Lantern Parade celebrates 15 years this May. “We like each other better when we see each other in our playfulness. It just does a body good.”⁠ ⁠
✨️💗✨️ More reasons we love Atlanta at the link in our bio and on newsstands now!⁠
⁠
📸: @eley_photo⁠
Makeup: @makeupby_danielle",2025-02-13T14:25:15.000Z,141.0,0.0,3.0,0.0,True
SaportaReport,Cam Kirk Studios - a household name in the Atlanta creative scene - finds new home on the Beltline.   Cam Kirk Studios,2025-02-13T13:21:03.000Z,0.0,0.0,0.0,0.0,True
The Atlanta Journal-Constitution,"The team behind Lucian Books & Wine will open their second restaurant, Sargent, in spring 2026 on the Eastside Beltline in Old Fourth Ward. ",2025-02-13T12:00:22.000Z,7.0,1.0,0.0,0.0,True
Chris Test,"514 McDonough Blvd is for sale for $3.9 million. Last sold 7/2023 for $1.65 million, previously for $875k. The 2024 Assessed Value by Fulton County is $568,000. 😭  So much money we are losing out on.

https://t.co/gHqFVGQdNr",2025-02-13T02:36:05.000Z,4.0,0.0,0.0,160.0,True
Rough Draft Atlanta,"Just three weeks after Lucian Books & Wine received a semifinalist nod for Outstanding Wine Program from the James Beard Foundation, owners Jordan Smelt and Katie Barringer announced they will open Sargent next spring along the Eastside Beltline. 

Named for American portrait artist John Singer Sargent, the couple’s second Atlanta restaurant will become the latest edition to the New City development in the Old Fourth Ward. The sprawling Beltline complex is also home to MailChimp, plant shop The Victorian, Burle’s Bar, and the Forth Hotel with its restaurants Il Premio, Elektra, Moonlight, and Bar Premio.

Located in a ground floor space beside 3 Parks Wine Shop and seating around 150 people, Sargent will feature a full bar serving cocktails, an expanded retail section selling books, a private dining room, and a covered patio. Expect wood-fired dishes influenced by American cuisine from Lucian executive chef Jason Paolini and a wine list from Smelt leaning heavily into domestic producers. ➡️ Read more about Sargent at the link in bio.",2025-02-12T22:03:53.000Z,477.0,0.0,6.0,0.0,True
SaportaReport,A household name in the Atlanta creative scene - @camkirkstudios - is bringing his studio onto the Beltline.  @MarkLannNews  https://t.co/T7fhT4osW4,2025-02-12T20:01:00.000Z,0.0,0.0,0.0,108.0,True
SaportaReport,Connecting Communities to New Greenspaces: Major initiatives are coming together to create lasting positive change in our communities.    #sponsored    Atlanta Beltline Partnership,2025-02-12T19:21:02.000Z,2.0,1.0,0.0,0.0,True
Los Niños Primero USA,"A heartfelt thank you to the Chestnut Family Foundation for their incredible commitment to building a stronger Atlanta! Their generosity extends far beyond our organization - they recently invested in the Atlanta BeltLine, creating a more connected and thriving city for all. 🌿🚶🏽‍♂️🚴🏾‍♀️

We are deeply grateful for their support of Los Niños Primero, which breaks down educational barriers for Latino families by preparing young children for academic success, equipping parents to support their children’s learning, and providing youth with leadership and volunteer opportunities. 📚 Together, we are shaping a brighter future!  

#LosNinosPrimero #CommunityImpact #ChestnutFamilyFoundation",2025-02-12T16:04:05.000Z,13.0,2.0,0.0,0.0,True
Los Niños Primero,"A heartfelt thank you to the Chestnut Family Foundation for their incredible commitment to building a stronger Atlanta! Their generosity extends far beyond our organization - they recently invested in the Atlanta BeltLine, creating a more connected and thriving city for all. 🌿🚶🏽‍♂️🚴🏾‍♀️

We are deeply grateful for their support of Los Niños Primero, which breaks down educational barriers for Latino families by preparing young children for academic success, equipping parents to support their children’s learning, and providing youth with leadership and volunteer opportunities. 📚 Together, we are shaping a brighter future! 

#LosNinosPrimero #CommunityImpact #ChestnutFamilyFoundation",2025-02-12T16:00:11.000Z,24.0,0.0,0.0,0.0,True
SaportaReport,A significant moment in time for Georgia’s capital city:  Leaders of several regional entities have one attribute in common. They all are from the City of Atlanta. MARTA  Downtown Atlanta  Atlanta Beltline  Buckhead Coalition  Atlanta Regional Commission  Council for Quality Growth,2025-02-12T15:21:02.000Z,1.0,0.0,0.0,0.0,True
Dj Mars,"#ATLANTA This Thursday meet us on the belt line at @justaddhoney 
We will be bringing you some of #ATL best DJ’s 
Neo Soul- Afro beats- House Music- Soul Music- Classic R&B and Hip Hop vibes!!
So join us and take the musical journey 
4pm - 7pm 
Thursday February 13th 
.
Presented by: 
@djmars404 
@djbobbyblack 
@djshakim",2025-02-11T17:40:52.000Z,15.0,0.0,2.0,99.0,True
SaportaReport,"As several major initiatives come together to create lasting positive change in our communities, we’re witnessing a transformative moment for Atlanta’s Westside   #sponsored   @AtlantaBeltline    https://t.co/FhPeOpyZ6c",2025-02-11T14:51:00.000Z,2.0,1.0,1.0,611.0,True
Atlanta News First,Atlanta police are cracking down on people illegally selling puppies along the BeltLine.,2025-02-11T09:00:11.000Z,38.0,4.0,7.0,0.0,True
Atlanta News First,"Atlanta police are cracking down on people illegally selling puppies along the BeltLine.
 https://t.co/HYTvYzvqqF",2025-02-11T09:00:05.000Z,0.0,0.0,0.0,530.0,True
Atlanta News First ,"Animal advocates with the Georgia Pet Coalition say many times the animals being sold in parking lots or on the BeltLine aren’t being taken care of.

SUBSCRIBE and turn on notifications so you don't miss any videos: https://bit.ly/3SS3Avs 

For more stories check out  https://www.atlantanewsfirst.com/ 

FOLLOW US for more! 
Like Atlanta News First on Facebook: https://bit.ly/3EcIseI 
Follow Atlanta News First on Twitter: https://bit.ly/3SQcVmV 
Follow Atlanta News First Instagram: https://bit.ly/3rdWMMg 
Follow Atlanta News First Tik Tok: https://bit.ly/3RC8U4p",2025-02-11T04:40:00.000Z,11.0,0.0,0.0,524.0,True
The Atlanta Journal-Constitution,The nonprofit that helps raise money for the Atlanta Beltline has named a new chair and five new members of its board of directors.,2025-02-10T23:30:06.000Z,32.0,0.0,0.0,0.0,True
Atlanta Journal-Constitution,"Nonprofit that supports Atlanta Beltline names new chair, board members https://t.co/5Agm8K00ds",2025-02-10T20:14:00.000Z,2.0,0.0,1.0,2859.0,True
Atlanta Business Chronicle,Beltline travelers have a new dining option https://t.co/LsuTnPyure,2025-02-10T19:02:28.000Z,0.0,0.0,0.0,474.0,True
SaportaReport,Atlanta Beltline faults developers for Murphy Crossing deal cancellation  @AtlantaBeltline  @DelaneyTarr  https://t.co/Pw79KG4vRd,2025-02-10T18:10:00.000Z,0.0,1.0,0.0,154.0,True
The Atlanta Journal-Constitution,Japanese restaurant Yuji has opened in the Junction Krog District building along Atlanta’s Eastside Beltline. ,2025-02-08T18:30:03.000Z,7.0,0.0,0.0,0.0,True
"City of Atlanta, GA","Atlanta, here’s another look at the Cam Kirk Studios grand opening. Mayor Andre Dickens joined Cam Kirk to celebrate the new permanent location on the Beltline. Since 2017, Cam Kirk Studios has uplifted photographers, artists, and creatives—now, with this new space near Krog https://t.co/ApTfZ35tqy",2025-02-08T15:15:28.000Z,17.0,5.0,0.0,2697.0,True
SaportaReport,"In a new public announcement, @AtlantaBeltline leaders laid out a list of problems that led to the eventual cancellation of a contract to redevelop Murphy Crossing.  @delaneytarr    https://t.co/Pw79KG4vRd",2025-02-08T12:42:01.000Z,1.0,0.0,1.0,194.0,True
The Atlanta Journal-Constitution,"For the opening menu, expect dishes like blistered shishito peppers, umami wagyu, branzino, a king crab roll, nigiri, sushi rolls and desserts like ube cheesecake.",2025-02-07T20:30:25.000Z,10.0,0.0,0.0,0.0,True
11Alive,A deal to redevelop Murphy Crossing on the Atlanta Beltline has fallen apart.,2025-02-07T17:36:01.000Z,3.0,0.0,0.0,210.0,True
SaportaReport,"News from City of Atlanta Government - City of Decatur  GA- Government - City of Chamblee, GA … Morehouse College film festival…  Updates from Southeast Energy Efficiency Alliance (SEEA) - Dad's Garage Theatre Company - Atlanta Beltline Partnership - Georgia-Pacific ... Savannah State University leadership... Georgia Innocence Project leadership…  Sadie G. Mays Health & Rehabilitation Center SCAD - The University for Creative Careers  WABE United Way of Greater Atlanta  Greenbriar Mall",2025-02-07T15:21:02.000Z,0.0,0.0,0.0,0.0,True
SaportaReport,"In a new public announcement, Atlanta Beltline leaders laid out a list of problems that led to the eventual cancellation of a contract to redevelop Murphy Crossing.  
 
https://saportareport.com/atlanta-beltline-faults-developers-for-murphy-crossing-deal-cancellation/columnists/delaney-tarr/delaneytarr/",2025-02-07T14:47:02.000Z,0.0,0.0,0.0,0.0,True
Atlanta Beltline,"""One of the best ways to explore the city is the 22-mile Atlanta Beltline..."" 

You heard it from @CNTraveler — the best way to experience Atlanta (the 12th-most-visited city in the U.S.) is along the corridor!

More on their top Beltline spots below.

https://t.co/z8ZERINTf9",2025-02-07T13:44:30.000Z,6.0,3.0,1.0,934.0,True
11Alive,"The 20-acre site on the Westside Trail was set to feature more than 1,000 housing units and retail space.",2025-02-06T23:43:05.000Z,1.0,0.0,0.0,171.0,True
"City of Atlanta, GA","Atlanta, join us in celebrating the ongoing efforts to be the hub for creativity and innovation. Mayor Dickens joined Cam Kirk to celebrate the grand opening of Cam Kirk Studios’ new permanent location on the Beltline. Since 2017, Cam Kirk Studios has uplifted photographers, https://t.co/6coocLJS60",2025-02-06T13:00:35.000Z,9.0,4.0,1.0,1619.0,True
Atlanta Business Chronicle,Atlanta Beltline Inc. is shedding light on why a deal fell apart for the redevelopment of Murphy Crossing https://t.co/iC8ikwK77a,2025-02-06T12:56:44.000Z,0.0,0.0,1.0,505.0,True
The Atlanta Voice,"Cam Kirk Studios celebrates its new location on the Atlanta BeltLine, expanding its role in the city's creative scene. Joining Kirk, was Atlanta Mayor Andre Dickens, one of the many that have supported Cam's journey from Forsyth to the BeltLine!  https://t.co/zIuyq2iegm",2025-02-06T00:30:47.000Z,3.0,2.0,0.0,230.0,True
Atlanta Magazine,"🏃🏿‍♀️🏃🏃🏻‍♂️🏃🏽‍♀️Joining a run club is a great way to get exercise, meet friends, and enjoy a drink or snack after your workout. Plus, they’re free to join, with no sign-up necessary.⁠
⁠
Pictured is @atlantarunclub, which offers various distances at different paces and meets three times a week across three locations: Saturday mornings at Piedmont Park, Sunday mornings at Peoples Town Coffee Bar, and—the largest gathering—Monday nights at Ponce⁠
City Market.⁠
⁠
Beltline Run Club welcomes walkers and runners and meets every Thursday evening at restaurants and breweries on the Eastside and Westside trails.⁠
⁠
Big Peach Running Co. hosts group runs throughout the week from several store locations around the metro Atlanta area.⁠
✨️More from our list of 25 Ways to Thrive in 2025 at the link in our bio ✨️⁠
⁠
📸: Mar Arrington⁠",2025-02-04T20:45:14.000Z,119.0,0.0,7.0,0.0,True
AccessAtlanta,"SAVE THIS POST! 🚀 Here are our things to do recs for this weekend! 📅February 5-7 🎥SCADTVFest 📍Midtown Atlanta 📅February 7 🎉Politan First Anniversary 📍Dunwoody 📅February 7-9 🧹Harry Potter and the Deathly Hallows 📍Midtown Atlanta 📅February 8 🌳We Shall Overcome: African American Stories from Civil War to Civil Rights 📍East Atlanta 📅February 8 🥃Atlanta Winter Bourbon Festival 📍Westside Beltline 📅February 8-9 💐Camellia Show 📍Midtown Atlanta 📅February 9 🖼️Super Museum Sunday 📍Metro Atlanta 📅February 9 🎉Kids Big Game Watch Party 📍Alpharetta 📅February 9 🏈Big Game Bash 📍West Midtown 📅February 9 🍻Taproom Touchdowns at SweetWater 📍Northeast Atlanta Head to the 🔗 in bio for all the details! And take note! @SCAD TVfest is back, bringing Hollywood’s brightest stars, creators and industry insiders to Atlanta from February 5-7 so don’t miss out! ✍️: Kayla Rivera #sponsor #SCADPartner #accessatlanta #thingstodoinatlanta #atl #atlanta #SCAD",2025-02-04T16:41:13.000Z,160.0,20.0,5.0,14551.0,True
Access Atlanta,"SAVE THIS POST! 🚀 Here are our things to do recs for this weekend!

📅February 5-7
🎥SCADTVFest
📍Midtown Atlanta

📅February 7
🎉Politan First Anniversary
📍Dunwoody

📅February 7-9
🧹Harry Potter and the Deathly Hallows
📍Midtown Atlanta

📅February 8
🌳We Shall Overcome: African American Stories from Civil War to Civil Rights
📍East Atlanta

📅February 8
🥃Atlanta Winter Bourbon Festival
📍Westside Beltline

📅February 8-9
💐Camellia Show
📍Midtown Atlanta

📅February 9
🖼️Super Museum Sunday
📍Metro Atlanta

📅February 9
🎉Kids Big Game Watch Party
📍Alpharetta

📅February 9
🏈Big Game Bash
📍West Midtown

📅February 9
🍻Taproom Touchdowns at SweetWater
📍Northeast Atlanta

Head to the 🔗 in bio for all the details!

And take note! SCAD TVfest is back, bringing Hollywood’s brightest stars, creators and industry insiders to Atlanta from February 5-7 so don’t miss out!

✍️: Kayla Rivera

#sponsor #SCADPartner #accessatlanta #thingstodoinatlanta #atl #atlanta #SCAD",2025-02-04T16:34:52.000Z,195.0,0.0,3.0,6011.0,True
Anthony LaMesa,"RT @HowEPhil: Atlanta BeltLine’s scope is too damn wide. While there’s a lot of good happening under its umbrella, the city of Atlanta has…",2025-02-03T15:16:32.000Z,0.0,1.0,0.0,0.0,True
Eric Phillips,"Atlanta BeltLine’s scope is too damn wide. While there’s a lot of good happening under its umbrella, the city of Atlanta has effectively externalized much of its basic functions that should be funded &amp; resourced directly by the city or other existing partners.",2025-02-03T13:29:46.000Z,43.0,1.0,6.0,2774.0,True
SaportaReport,"In conversations with about a dozen Atlanta business and civic leaders, it has become obvious that the city is at a pivotal juncture when it comes to Downtown and transit. Downtown Atlanta  Atlanta City Council City of Atlanta Government BeltLine Rail Now Centennial Yards  Buckhead Coalition  MARTA",2025-01-30T17:22:12.000Z,7.0,0.0,0.0,0.0,True
The Atlanta Journal-Constitution,"Earlier this month, when a deal to transform the warehouse complex at Murphy Crossing came crashing down to earth, there was a sense of déjà vu among some community activists.",2025-01-30T14:30:11.000Z,4.0,0.0,1.0,0.0,True
11Alive,A water main break occurred near the intersection of Allene Avenue SW and Avon Avenue SW.,2025-01-26T04:08:09.000Z,9.0,0.0,0.0,1114.0,True
11Alive,"Officials provided an update and said that the water has been shut down as crews make repairs. The outage is currently affecting 30 homes, four businesses and four hydrants.",2025-01-26T04:01:29.000Z,14.0,2.0,2.0,0.0,True
11Alive,Officials told 11Alive that a water main break occurred near the intersection of Allene Avenue SW and Avon Avenue SW.,2025-01-26T02:00:12.000Z,18.0,1.0,7.0,0.0,True
11Alive News,Flooding seen around Atlanta BeltLine due to water main break | What we know https://t.co/ODraBxhimk,2025-01-26T01:43:03.000Z,1.0,1.0,0.0,1690.0,True
ATL City Planning,"RT @CityofAtlanta: Snow day, round two! This time, we’re soaking in the breathtaking views from the Beltline. Atlanta, did you get out and…",2025-01-23T18:42:32.000Z,0.0,6.0,0.0,0.0,True
"City of Atlanta, GA","Snow day, round two! This time, we’re soaking in the breathtaking views from the Beltline. Atlanta, did you get out and enjoy this rare winter wonderland? Share in the comments what fun things you did on this snow day!

Please continue to monitor local news and stay tuned for https://t.co/4oREVVipvI",2025-01-23T15:34:06.000Z,14.0,6.0,2.0,2346.0,True
Dj Mars,"Join us today for some warm vibes on the Beltline 

Party people, join us for a special live Dj set at Just Add Honey. Yes, from 4pm-7pm today jjoin us as we provide some dope sounds, B-Sides and Tea. 

Pull up, vibe out with us and enjoy some groovy tunes as we get busy on the Beltline. 

@djshakim 
@djbobbyblack 
@djmars404 

684 John Wesley Dobbs Avenue
Unit E
Atlanta, GA 30312
United States

#atlanta #beltline #tea",2025-01-23T13:16:13.000Z,29.0,0.0,2.0,258.0,True
Dj Mars,"Party people, join us for a special live Dj set at Just Add Honey. Yes, from 4pm-7pm this Thursday join us as we provide some dope sounds, B-Sides and Tea. 

Pull up, vibe out with us and enjoy some groovy tunes as we get busy on the Beltline. 

@djshakim 
@djbobbyblack 
@djmars404 

684 John Wesley Dobbs Avenue
Unit E
Atlanta, GA 30312
United States

#atlanta #beltline #tea",2025-01-21T17:05:07.000Z,103.0,0.0,14.0,577.0,True
The Atlanta Voice,"Belkis Teran, is the mother of Manuel Teran. Currently residing in Panama, she flew to Atlanta to speak at Saturday's “Day of Resistance” rally. Many members of the “Cop City” resistance were in attendance.  https://t.co/qdiRabVZNb",2025-01-19T13:05:02.000Z,1.0,0.0,0.0,324.0,True
Atlanta Business Chronicle,"After nine years of planning, the Atlanta Botanical Garden will finally break ground on its eight-acre expansion in late Fall 2025, the garden says. Upon completion, the Atlanta Beltline will have a direct connection to the garden. https://t.co/Seg1RTRRAJ",2025-01-19T03:00:56.000Z,1.0,0.0,1.0,1072.0,True
Atlanta Business Chronicle,"After nine years of planning, the Atlanta Botanical Garden will finally break ground on its eight-acre expansion in late Fall 2025, the garden says. Upon completion, the Atlanta Beltline will have a direct connection to the garden. https://t.co/VZBI6l0Ky3",2025-01-18T13:00:25.000Z,0.0,1.0,0.0,768.0,True
Atlanta Business Chronicle,"After nine years of planning, the Atlanta Botanical Garden will finally break ground on its eight-acre expansion in late Fall 2025, the garden says. Upon completion, the Atlanta Beltline will have a direct connection to the garden. https://t.co/Zks5DxzxYH",2025-01-18T00:15:04.000Z,2.0,0.0,0.0,827.0,True
AJC,"Doctors recommend walking, but for many Atlantans, it’s too dangerous.

Researchers at Arizona State University were actually able to prove that being forced to drive everywhere is making Americans unhappy. But experts say the inadequacy of Atlanta’s biking and walking infrastructure not only creates dangers for pedestrians but also affects the overall health of the city’s residents.

And although Atlanta’s Beltline project has vastly improved walkability in several parts of the city, only 25% of the city’s population lives near it, according to The Conservation Fund.

✍️📹📸 Michael Scaturro | AJC",2025-01-17T16:37:11.000Z,996.0,0.0,62.0,0.0,True
Atlanta Magazine,"From a sexy Mediterranean restaurant on the Westside, to a Chinese joint on the BeltLine, here are a few of the places we can't wait to open this year. https://t.co/qRTLGL7PZN",2025-01-13T14:19:21.000Z,2.0,3.0,2.0,1361.0,True
Atlanta Magazine,"From a sexy Mediterranean restaurant on the Westside, to a Chinese joint on the BeltLine, here are a few of the places we can't wait to open this year. ",2025-01-13T14:18:42.000Z,24.0,3.0,0.0,0.0,True
Atlanta Business Chronicle,A pivotal project to transform 20 acres along Atlanta Beltine's Westside Trail is in jeopardy. https://t.co/sl0aqikOSp,2025-01-11T23:00:41.000Z,0.0,0.0,0.0,872.0,True
Atlanta Business Chronicle,A pivotal project to transform 20 acres along Atlanta Beltine's Westside Trail is in jeopardy. https://t.co/Kr6uQ9ocT9,2025-01-11T03:00:03.000Z,0.0,0.0,0.0,930.0,True
The Atlanta Journal-Constitution,"An effort to transform a shuttered industrial site along the Atlanta Beltline into a bustling village with more than a thousand homes, new shops and a new MARTA station has fallen apart after more than two years of development negotiations failed. ",2025-01-10T23:30:06.000Z,42.0,2.0,4.0,0.0,True
Atlanta Business Chronicle,A pivotal project to transform 20 acres along Atlanta Beltine's Westside Trail is in jeopardy. https://t.co/OehJhBRQKD,2025-01-10T20:45:02.000Z,1.0,0.0,0.0,2462.0,True
